expiry,t,forward,discount,strike,price
T1,0.25,100.7528251092,0.992528,68,32.7259782809
T1,0.25,100.7528251092,0.992528,80.75,21.2885386783
T1,0.25,100.7528251092,0.992528,97,12.0581234181
T1,0.25,100.7528251092,0.992528,101.75,10.5680106644
T1,0.25,100.7528251092,0.992528,123,6.9004494973
T1,0.25,100.7528251092,0.992528,124.75,6.7153075562
T1,0.25,100.7528251092,0.992528,143.25,6.9003075562
T1,0.25,100.7528251092,0.992528,145.5,6.9662958168
T2,0.5,101.5113002379,0.985112,69.25,32.9471784831
T2,0.5,101.5113002379,0.985112,71,31.4180290727
T2,0.5,101.5113002379,0.985112,71.5,30.9878041531
T2,0.5,101.5113002379,0.985112,72,30.5608362514
T2,0.5,101.5113002379,0.985112,108.75,14.0775126846
T2,0.5,101.5113002379,0.985112,117,13.1240618562
T2,0.5,101.5113002379,0.985112,137.5,11.6515458169
T2,0.5,101.5113002379,0.985112,151.25,10.988977963
